Наименование;Категория;Цена
Купаты XXL баранина;Купаты;3500₸
Купаты баварские с сыром свинина/говядина;Купаты;3500₸
Купаты венгерские свинина/говядина;Купаты;3500₸
Купаты венесуэла свинина/говядина;Купаты;3500₸
Купаты венецианские свинина/говядина;Купаты;3300₸
Купаты гриль говядина/баранина;Купаты;3600₸
Купаты грузинские говядина/баранина;Купаты;3600₸
Купаты дачные курица/индейка;Купаты;2500₸
Купаты карри курица/индейка;Купаты;2800₸
Купаты карри свинина/говядина;Купаты;3000₸
Купаты классические говядина/баранина;Купаты;3300₸
Купаты классические рубленые говядина/баранина;Купаты;3600₸
Купаты классические рубленые свинина/говядина;Купаты;3500₸
Купаты классические свинина/говядина;Купаты;3500₸
Купаты кнакер свинина/говядина;Купаты;3500₸
Купаты мексиканские свинина/говядина;Купаты;3500₸
Купаты миланские рубленые с зеленью свинина/говядина;Купаты;3500₸
Купаты миланские свинина/говядина;Купаты;3500₸
Купаты острые баранина;Купаты;3500₸
Купаты рубленые курица/ говядина;Купаты;3300₸
Купаты с зеленью и томатами баранина;Купаты;3600₸
Купаты с зеленью конина;Купаты;3600₸
Купаты с зеленью курица/индейка;Купаты;2900₸
Купаты с зеленью свинина/говядина;Купаты;3200₸
Купаты с изюмом курица/индейка;Купаты;3200₸
Купаты с сыром и виноградом курица/индейка;Купаты;3000₸
Купаты с сыром курица/индейка;Купаты;2900₸
Купаты с томатами свинина/говядина;Купаты;3500₸
Купаты сливочные индейка;Купаты;2900₸
Купаты сливочные курица/индейка;Купаты;2900₸
Купаты сливочные свинина/курица;Купаты;3200₸
Купаты сметана с луком курица/индейка;Купаты;3200₸
Купаты чикен курица;Купаты;2800₸
Купаты чикен курица/индейка;Купаты;2800₸
